car_ID,symboling,CarMake,fueltype,doornumber,carbody,drivewheel,enginelocation,carlength,carwidth,carh8,cylindernumber,enginesize,horsepower,peakrpm,citympg,highwaympg,price
1,3,26,0,2,0,1,0,168.8,64.1,48.8,4,130,111,5000,21,27,13495
2,3,26,0,2,0,1,0,168.8,64.1,48.8,4,130,111,5000,21,27,16500
3,1,26,0,2,1,1,0,171.2,65.5,52.4,6,152,154,5000,19,26,16500
4,2,27,0,4,2,0,0,176.6,66.2,54.3,4,109,102,5500,24,30,13950
5,2,27,0,4,2,2,0,176.6,66.4,54.3,5,136,115,5500,18,22,17450
6,2,27,0,2,2,0,0,177.3,66.3,53.1,5,136,110,5500,19,25,15250
7,1,27,0,4,2,0,0,192.7,71.4,55.7,5,136,110,5500,19,25,17710
8,1,27,0,4,3,0,0,192.7,71.4,55.7,5,136,110,5500,19,25,18920
9,1,27,0,4,2,0,0,192.7,71.4,55.9,5,131,140,5500,17,20,23875
10,0,27,0,2,1,2,0,178.2,67.9,52,5,131,160,5500,16,22,17859.167
11,2,29,0,2,2,1,0,176.8,64.8,54.3,4,108,101,5800,23,29,16430
12,0,29,0,4,2,1,0,176.8,64.8,54.3,4,108,101,5800,23,29,16925
13,0,29,0,2,2,1,0,176.8,64.8,54.3,6,164,121,4250,21,28,20970
14,0,29,0,4,2,1,0,176.8,64.8,54.3,6,164,121,4250,21,28,21105
15,1,29,0,4,2,1,0,189,66.9,55.7,6,164,121,4250,20,25,24565
16,0,29,0,4,2,1,0,189,66.9,55.7,6,209,182,5400,16,22,30760
17,0,29,0,2,2,1,0,193.8,67.9,53.7,6,209,182,5400,16,22,41315
18,0,29,0,4,2,1,0,197,70.9,56.3,6,209,182,5400,15,20,36880
19,2,14,0,2,1,0,0,141.1,60.3,53.2,3,61,48,5100,47,53,5151
20,1,14,0,2,1,0,0,155.9,63.6,52,4,90,70,5400,38,43,6295
21,0,14,0,4,2,0,0,158.8,63.6,52,4,90,70,5400,38,43,6575
22,1,18,0,2,1,0,0,157.3,63.8,50.8,4,90,68,5500,37,41,5572
23,1,18,0,2,1,0,0,157.3,63.8,50.8,4,90,68,5500,31,38,6377
24,1,18,0,2,1,0,0,157.3,63.8,50.8,4,98,102,5500,24,30,7957
25,1,18,0,4,1,0,0,157.3,63.8,50.6,4,90,68,5500,31,38,6229
26,1,18,0,4,2,0,0,157.3,63.8,50.6,4,90,68,5500,31,38,6692
27,1,18,0,4,2,0,0,157.3,63.8,50.6,4,90,68,5500,31,38,7609
28,1,18,0,2,2,0,0,157.3,63.8,50.6,4,98,102,5500,24,30,8558
29,-1,18,0,4,3,0,0,174.6,64.6,59.8,4,122,88,5000,24,30,8921
30,3,18,0,2,1,0,0,173.2,66.3,50.2,4,156,145,5000,19,24,12964
31,2,7,0,2,1,0,0,144.6,63.9,50.8,4,92,58,4800,49,54,6479
32,2,7,0,2,1,0,0,144.6,63.9,50.8,4,92,76,6000,31,38,6855
33,1,7,0,2,1,0,0,150,64,52.6,4,79,60,5500,38,42,5399
34,1,7,0,2,1,0,0,150,64,52.6,4,92,76,6000,30,34,6529
35,1,7,0,2,1,0,0,150,64,52.6,4,92,76,6000,30,34,7129
36,0,7,0,4,2,0,0,163.4,64,54.5,4,92,76,6000,30,34,7295
37,0,7,0,4,3,0,0,157.1,63.9,58.3,4,92,76,6000,30,34,7295
38,0,7,0,2,1,0,0,167.5,65.2,53.3,4,110,86,5800,27,33,7895
39,0,7,0,2,1,0,0,167.5,65.2,53.3,4,110,86,5800,27,33,9095
40,0,7,0,4,2,0,0,175.4,65.2,54.1,4,110,86,5800,27,33,8845
41,0,7,0,4,2,0,0,175.4,62.5,54.1,4,110,86,5800,27,33,10295
42,0,7,0,4,2,0,0,175.4,65.2,54.1,4,110,101,5800,24,28,12945
43,1,7,0,2,2,0,0,169.1,66,51,4,110,100,5500,25,31,10345
44,0,19,0,4,2,1,0,170.7,61.8,53.5,4,111,78,4800,24,29,6785
45,1,19,0,2,2,0,0,155.9,63.6,52,4,90,70,5400,38,43,8916.5
46,0,19,0,4,2,0,0,155.9,63.6,52,4,90,70,5400,38,43,8916.5
47,2,19,0,2,1,1,0,172.6,65.2,51.4,4,119,90,5000,24,29,11048
48,0,28,0,4,2,1,0,199.6,69.6,52.8,6,258,176,4750,15,19,32250
49,0,28,0,4,2,1,0,199.6,69.6,52.8,6,258,176,4750,15,19,35550
50,0,28,0,2,2,1,0,191.7,70.6,47.8,12,326,262,5000,13,17,36000
51,1,4,0,2,1,0,0,159.1,64.2,54.1,4,91,68,5000,30,31,5195
52,1,4,0,2,1,0,0,159.1,64.2,54.1,4,91,68,5000,31,38,6095
53,1,4,0,2,1,0,0,159.1,64.2,54.1,4,91,68,5000,31,38,6795
54,1,4,0,4,2,0,0,166.8,64.2,54.1,4,91,68,5000,31,38,6695
55,1,4,0,4,2,0,0,166.8,64.2,54.1,4,91,68,5000,31,38,7395
56,3,4,0,2,1,1,0,169,65.7,49.6,2,70,101,6000,17,23,10945
57,3,4,0,2,1,1,0,169,65.7,49.6,2,70,101,6000,17,23,11845
58,3,4,0,2,1,1,0,169,65.7,49.6,2,70,101,6000,17,23,13645
59,3,4,0,2,1,1,0,169,65.7,49.6,2,80,135,6000,16,23,15645
60,1,4,0,2,1,0,0,177.8,66.5,53.7,4,122,84,4800,26,32,8845
61,0,4,0,4,2,0,0,177.8,66.5,55.5,4,122,84,4800,26,32,8495
62,1,4,0,2,1,0,0,177.8,66.5,53.7,4,122,84,4800,26,32,10595
63,0,4,0,4,2,0,0,177.8,66.5,55.5,4,122,84,4800,26,32,10245
64,0,4,1,4,2,0,0,177.8,66.5,55.5,4,122,64,4650,36,42,10795
65,0,4,0,4,1,0,0,177.8,66.5,55.5,4,122,84,4800,26,32,11245
66,0,4,0,4,2,1,0,175,66.1,54.4,4,140,120,5000,19,27,18280
67,0,4,1,4,2,1,0,175,66.1,54.4,4,134,72,4200,31,39,18344
68,-1,12,1,4,2,1,0,190.9,70.3,56.5,5,183,123,4350,22,25,25552
69,-1,12,1,4,3,1,0,190.9,70.3,58.7,5,183,123,4350,22,25,28248
70,0,12,1,2,4,1,0,187.5,70.3,54.9,5,183,123,4350,22,25,28176
71,-1,12,1,4,2,1,0,202.6,71.7,56.3,5,183,123,4350,22,25,31600
72,-1,12,0,4,2,1,0,202.6,71.7,56.5,8,234,155,4750,16,18,34184
73,3,12,0,2,0,1,0,180.3,70.5,50.8,8,234,155,4750,16,18,35056
74,0,12,0,4,2,1,0,208.1,71.7,56.7,8,308,184,4500,14,16,40960
75,1,12,0,2,4,1,0,199.2,72,55.4,8,304,184,4500,14,16,45400
76,1,5,0,2,1,1,0,178.4,68,54.8,4,140,175,5000,19,24,16503
77,2,1,0,2,1,0,0,157.3,64.4,50.8,4,92,68,5500,37,41,5389
78,2,1,0,2,1,0,0,157.3,64.4,50.8,4,92,68,5500,31,38,6189
79,2,1,0,2,1,0,0,157.3,64.4,50.8,4,92,68,5500,31,38,6669
80,1,1,0,2,1,0,0,157.3,63.8,50.8,4,98,102,5500,24,30,7689
81,3,1,0,2,1,0,0,173,65.4,49.4,4,110,116,5500,23,30,9959
82,3,1,0,2,1,0,0,173,65.4,49.4,4,122,88,5000,25,32,8499
83,3,1,0,2,1,0,0,173.2,66.3,50.2,4,156,145,5000,19,24,12629
84,3,1,0,2,1,0,0,173.2,66.3,50.2,4,156,145,5000,19,24,14869
85,3,1,0,2,1,0,0,173.2,66.3,50.2,4,156,145,5000,19,24,14489
86,1,1,0,4,2,0,0,172.4,65.4,51.6,4,122,88,5000,25,32,6989
87,1,1,0,4,2,0,0,172.4,65.4,51.6,4,122,88,5000,25,32,8189
88,1,1,0,4,2,0,0,172.4,65.4,51.6,4,110,116,5500,23,30,9279
89,-1,1,0,4,2,0,0,172.4,65.4,51.6,4,110,116,5500,23,30,9279
90,1,15,0,2,2,0,0,165.3,63.8,54.5,4,97,69,5200,31,37,5499
91,1,15,1,2,2,0,0,165.3,63.8,54.5,4,103,55,4800,45,50,7099
92,1,15,0,2,2,0,0,165.3,63.8,54.5,4,97,69,5200,31,37,6649
93,1,15,0,4,2,0,0,165.3,63.8,54.5,4,97,69,5200,31,37,6849
94,1,15,0,4,3,0,0,170.2,63.8,53.5,4,97,69,5200,31,37,7349
95,1,15,0,2,2,0,0,165.3,63.8,54.5,4,97,69,5200,31,37,7299
96,1,15,0,2,1,0,0,165.6,63.8,53.3,4,97,69,5200,31,37,7799
97,1,15,0,4,2,0,0,165.3,63.8,54.5,4,97,69,5200,31,37,7499
98,1,15,0,4,3,0,0,170.2,63.8,53.5,4,97,69,5200,31,37,7999
99,2,15,0,2,4,0,0,162.4,63.8,53.3,4,97,69,5200,31,37,8249
100,0,15,0,4,1,0,0,173.4,65.2,54.7,4,120,97,5200,27,34,8949
101,0,15,0,4,2,0,0,173.4,65.2,54.7,4,120,97,5200,27,34,9549
102,0,15,0,4,2,0,0,181.7,66.5,55.1,6,181,152,5200,17,22,13499
103,0,15,0,4,3,0,0,184.6,66.5,56.1,6,181,152,5200,17,22,14399
104,0,15,0,4,2,0,0,184.6,66.5,55.1,6,181,152,5200,19,25,13499
105,3,15,0,2,1,1,0,170.7,67.9,49.7,6,181,160,5200,19,25,17199
106,3,15,0,2,1,1,0,170.7,67.9,49.7,6,181,200,5200,17,23,19699
107,1,15,0,2,1,1,0,178.5,67.9,49.7,6,181,160,5200,19,25,18399
108,0,5,0,4,2,1,0,186.7,68.4,56.7,4,120,97,5000,19,24,11900
109,0,5,1,4,2,1,0,186.7,68.4,56.7,4,152,95,4150,28,33,13200
110,0,5,0,4,3,1,0,198.9,68.4,58.7,4,120,97,5000,19,24,12440
111,0,5,1,4,3,1,0,198.9,68.4,58.7,4,152,95,4150,25,25,13860
112,0,5,0,4,2,1,0,186.7,68.4,56.7,4,120,95,5000,19,24,15580
113,0,5,1,4,2,1,0,186.7,68.4,56.7,4,152,95,4150,28,33,16900
114,0,5,0,4,3,1,0,198.9,68.4,56.7,4,120,95,5000,19,24,16695
115,0,5,1,4,3,1,0,198.9,68.4,58.7,4,152,95,4150,25,25,17075
116,0,5,0,4,2,1,0,186.7,68.4,56.7,4,120,97,5000,19,24,16630
117,0,5,1,4,2,1,0,186.7,68.4,56.7,4,152,95,4150,28,33,17950
118,0,5,0,4,2,1,0,186.7,68.3,56,4,134,142,5600,18,24,18150
119,1,3,0,2,1,0,0,157.3,63.8,50.8,4,90,68,5500,37,41,5572
120,1,3,0,2,1,0,0,157.3,63.8,50.8,4,98,102,5500,24,30,7957
121,1,3,0,4,1,0,0,157.3,63.8,50.6,4,90,68,5500,31,38,6229
122,1,3,0,4,2,0,0,167.3,63.8,50.8,4,90,68,5500,31,38,6692
123,1,3,0,4,2,0,0,167.3,63.8,50.8,4,98,68,5500,31,38,7609
124,-1,3,0,4,3,0,0,174.6,64.6,59.8,4,122,88,5000,24,30,8921
125,3,3,0,2,1,1,0,173.2,66.3,50.2,4,156,145,5000,19,24,12764
126,3,32,0,2,1,1,0,168.9,68.3,50.2,4,151,143,5500,19,27,22018
127,3,32,0,2,4,1,1,168.9,65,51.6,6,194,207,5900,17,25,32528
128,3,32,0,2,4,1,1,168.9,65,51.6,6,194,207,5900,17,25,34028
129,3,32,0,2,0,1,1,168.9,65,51.6,6,194,207,5900,17,25,37028
130,1,32,0,2,1,1,0,175.7,72.3,50.5,8,203,288,5750,17,28,31400.5
131,0,6,0,4,3,0,0,181.5,66.5,55.2,4,132,90,5100,23,31,9295
132,2,6,0,2,1,0,0,176.8,66.6,50.5,4,132,90,5100,23,31,9895
133,3,9,0,2,1,0,0,186.6,66.5,56.1,4,121,110,5250,21,28,11850
134,2,9,0,4,2,0,0,186.6,66.5,56.1,4,121,110,5250,21,28,12170
135,3,9,0,2,1,0,0,186.6,66.5,56.1,4,121,110,5250,21,28,15040
136,2,9,0,4,2,0,0,186.6,66.5,56.1,4,121,110,5250,21,28,15510
137,3,9,0,2,1,0,0,186.6,66.5,56.1,4,121,160,5500,19,26,18150
138,2,9,0,4,2,0,0,186.6,66.5,56.1,4,121,160,5500,19,26,18620
139,2,3,0,2,1,0,0,156.9,63.4,53.7,4,97,69,4900,31,36,5118
140,2,3,0,2,1,0,0,157.9,63.6,53.7,4,108,73,4400,26,31,7053
141,2,3,0,2,1,2,0,157.3,63.8,55.7,4,108,73,4400,26,31,7603
142,0,3,0,4,2,0,0,172,65.4,52.5,4,108,82,4800,32,37,7126
143,0,3,0,4,2,0,0,172,65.4,52.5,4,108,82,4400,28,33,7775
144,0,3,0,4,2,0,0,172,65.4,52.5,4,108,94,5200,26,32,9960
145,0,3,0,4,2,2,0,172,65.4,54.3,4,108,82,4800,24,25,9233
146,0,3,0,4,2,2,0,172,65.4,54.3,4,108,111,4800,24,29,11259
147,0,3,0,4,3,0,0,173.5,65.4,53,4,108,82,4800,28,32,7463
148,0,3,0,4,3,0,0,173.5,65.4,53,4,108,94,5200,25,31,10198
149,0,3,0,4,3,2,0,173.6,65.4,54.9,4,108,82,4800,23,29,8013
150,0,3,0,4,3,2,0,173.6,65.4,54.9,4,108,111,4800,23,23,11694
151,1,9,0,2,1,0,0,158.7,63.6,54.5,4,92,62,4800,35,39,5348
152,1,9,0,2,1,0,0,158.7,63.6,54.5,4,92,62,4800,31,38,6338
153,1,9,0,4,1,0,0,158.7,63.6,54.5,4,92,62,4800,31,38,6488
154,0,9,0,4,3,0,0,169.7,63.6,59.1,4,92,62,4800,31,37,6918
155,0,9,0,4,3,2,0,169.7,63.6,59.1,4,92,62,4800,27,32,7898
156,0,9,0,4,3,2,0,169.7,63.6,59.1,4,92,62,4800,27,32,8778
157,0,9,0,4,2,0,0,166.3,64.4,53,4,98,70,4800,30,37,6938
158,0,9,0,4,1,0,0,166.3,64.4,52.8,4,98,70,4800,30,37,7198
159,0,9,1,4,2,0,0,166.3,64.4,53,4,110,56,4500,34,36,7898
160,0,9,1,4,1,0,0,166.3,64.4,52.8,4,110,56,4500,38,47,7788
161,0,9,0,4,2,0,0,166.3,64.4,53,4,98,70,4800,38,47,7738
162,0,9,0,4,1,0,0,166.3,64.4,52.8,4,98,70,4800,28,34,8358
163,0,9,0,4,2,0,0,166.3,64.4,52.8,4,98,70,4800,28,34,9258
164,1,9,0,2,2,1,0,168.7,64,52.6,4,98,70,4800,29,34,8058
165,1,9,0,2,1,1,0,168.7,64,52.6,4,98,70,4800,29,34,8238
166,1,9,0,2,2,1,0,168.7,64,52.6,4,98,112,6600,26,29,9298
167,1,9,0,2,1,1,0,168.7,64,52.6,4,98,112,6600,26,29,9538
168,2,9,0,2,4,1,0,176.2,65.6,52,4,146,116,4800,24,30,8449
169,2,9,0,2,4,1,0,176.2,65.6,52,4,146,116,4800,24,30,9639
170,2,9,0,2,1,1,0,176.2,65.6,52,4,146,116,4800,24,30,9989
171,2,9,0,2,4,1,0,176.2,65.6,52,4,146,116,4800,24,30,11199
172,2,9,0,2,1,1,0,176.2,65.6,52,4,146,116,4800,24,30,11549
173,2,9,0,2,0,1,0,176.2,65.6,53,4,146,116,4800,24,30,17669
174,-1,9,0,4,2,0,0,175.6,66.5,54.9,4,122,92,4200,29,34,8948
175,-1,9,1,4,2,0,0,175.6,66.5,54.9,4,110,73,4500,30,33,10698
176,-1,9,0,4,1,0,0,175.6,66.5,53.9,4,122,92,4200,27,32,9988
177,-1,9,0,4,2,0,0,175.6,66.5,54.9,4,122,92,4200,27,32,10898
178,-1,9,0,4,1,0,0,175.6,66.5,53.9,4,122,92,4200,27,32,11248
179,3,9,0,2,1,1,0,183.5,67.7,52,6,171,161,5200,20,24,16558
180,3,9,0,2,1,1,0,183.5,67.7,52,6,171,161,5200,19,24,15998
181,-1,9,0,4,2,1,0,187.8,66.5,54.1,6,171,156,5200,20,24,15690
182,-1,9,0,4,3,1,0,187.8,66.5,54.1,6,161,156,5200,19,24,15750
183,2,8,1,2,2,0,0,171.7,65.5,55.7,4,97,52,4800,37,46,7775
184,2,8,0,2,2,0,0,171.7,65.5,55.7,4,109,85,5250,27,34,7975
185,2,8,1,4,2,0,0,171.7,65.5,55.7,4,97,52,4800,37,46,7995
186,2,8,0,4,2,0,0,171.7,65.5,55.7,4,109,85,5250,27,34,8195
187,2,8,0,4,2,0,0,171.7,65.5,55.7,4,109,85,5250,27,34,8495
188,2,8,1,4,2,0,0,171.7,65.5,55.7,4,97,68,4500,37,42,9495
189,2,8,0,4,2,0,0,171.7,65.5,55.7,4,109,100,5500,26,32,9995
190,3,8,0,2,0,0,0,159.3,64.2,55.6,4,109,90,5500,24,29,11595
191,3,8,0,2,1,0,0,165.7,64,51.4,4,109,90,5500,24,29,9980
192,0,8,0,4,2,0,0,180.2,66.9,55.1,5,136,110,5500,19,24,13295
193,0,8,1,4,2,0,0,180.2,66.9,55.1,4,97,68,4500,33,38,13845
194,0,8,0,4,3,0,0,183.1,66.9,55.1,4,109,88,5500,25,31,12290
195,-2,21,0,4,2,1,0,188.8,67.2,56.2,4,141,114,5400,23,28,12940
196,-1,21,0,4,3,1,0,188.8,67.2,57.5,4,141,114,5400,23,28,13415
197,-2,21,0,4,2,1,0,188.8,67.2,56.2,4,141,114,5400,24,28,15985
198,-1,21,0,4,3,1,0,188.8,67.2,57.5,4,141,114,5400,24,28,16515
199,-2,21,0,4,2,1,0,188.8,67.2,56.2,4,130,162,5100,17,22,18420
200,-1,21,0,4,3,1,0,188.8,67.2,57.5,4,130,162,5100,17,22,18950
201,-1,21,0,4,2,1,0,188.8,68.9,55.5,4,141,114,5400,23,28,16845
202,-1,21,0,4,2,1,0,188.8,68.8,55.5,4,141,160,5300,19,25,19045
203,-1,21,0,4,2,1,0,188.8,68.9,55.5,6,173,134,5500,18,23,21485
204,-1,21,1,4,2,1,0,188.8,68.9,55.5,6,145,106,4800,26,27,22470
205,-1,21,0,4,2,1,0,188.8,68.9,55.5,4,141,114,5400,19,25,22625
